Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
Male,23,Mathematics,42.7,8.6,2.51,8.1,12,3.15
Female,20,Economics,55.5,10.2,2.71,8.5,6,1.58
Female,22,Business,55.9,8.8,3.21,4.8,16,2.64
Female,21,Mathematics,43.7,4.4,1.69,7.3,12,3.26
Male,22,Computer Science,70.9,10.5,2.5,5.1,7,2.62
Female,22,Engineering,65.8,3.7,3.2,7.0,14,2.71
Male,23,Mathematics,86.2,10.1,2.94,6.3,12,2.98
Female,21,Economics,79.2,4.8,1.86,6.3,8,1.59
Male,20,Computer Science,60.2,6.0,2.03,6.1,11,2.37
Male,19,Economics,57.2,7.6,2.12,6.3,8,2.96
Male,21,Computer Science,50.7,6.8,3.17,8.1,8,2.77
Female,21,Engineering,46.8,4.5,2.24,5.9,13,2.65
Female,21,Engineering,75.4,3.7,2.65,7.0,13,2.17
Male,22,Computer Science,70.4,4.3,2.84,5.2,14,2.87
Female,21,Mathematics,42.5,8.4,2.66,5.0,11,3.3
Female,21,Mathematics,43.8,8.5,3.34,6.3,12,2.49
Female,22,Business,53.0,7.9,1.82,7.6,9,2.28
Female,21,Computer Science,70.3,6.8,3.13,7.5,15,2.73
Male,23,Business,61.4,5.3,2.88,6.1,11,3.25
Male,20,Economics,79.8,8.2,2.65,6.9,17,2.24
Male,23,Engineering,48.9,1.9,1.87,6.9,11,2.67
Male,20,Economics,56.1,6.5,2.17,7.0,9,2.78
Male,21,Psychology,67.6,5.6,3.11,7.0,6,1.89
Male,23,Mathematics,77.5,5.8,3.03,6.2,7,2.08
Male,20,Computer Science,56.3,5.9,2.58,5.3,10,2.13
Female,22,Economics,63.6,8.5,2.69,6.2,10,1.97
Female,21,Mathematics,80.1,3.2,2.67,8.6,13,3.08
Female,21,Psychology,56.6,9.2,2.5,7.2,8,2.46
Male,23,Psychology,88.9,3.8,2.83,5.7,6,3.01
Male,21,Computer Science,59.4,10.7,3.06,8.4,9,2.48
Female,20,Economics,57.0,9.3,3.35,6.3,14,2.2
Female,20,Engineering,82.7,7.2,3.05,6.2,10,2.49
Female,23,Economics,62.4,6.2,3.33,7.8,7,2.74
Male,20,Economics,73.0,4.2,2.86,8.6,9,2.71
Male,20,Psychology,79.7,6.4,3.18,8.4,8,3.31
Male,21,Computer Science,54.4,8.4,3.22,7.9,3,2.36
Male,21,Economics,59.6,3.9,1.96,8.4,7,2.28
Female,19,Engineering,80.5,4.9,2.98,5.8,10,2.76
Male,21,Computer Science,62.9,8.4,3.24,6.4,10,1.84
Female,22,Computer Science,49.5,7.4,3.34,6.9,6,2.81
Female,20,Engineering,54.3,9.6,2.51,8.9,15,3.38
Male,22,Psychology,67.5,7.4,2.76,6.9,10,2.33
Female,22,Engineering,50.1,8.0,2.34,6.3,11,2.71
Male,21,Business,62.8,11.2,2.84,6.3,13,2.18
Female,21,Computer Science,65.7,7.6,2.64,6.8,9,2.55
Female,21,Business,91.4,1.4,2.1,5.4,15,2.9
Male,21,Engineering,68.9,9.1,3.32,6.3,8,2.17
Male,21,Psychology,60.6,5.7,2.99,7.9,9,2.8
Male,21,Mathematics,60.4,9.7,2.51,6.0,12,2.6
Male,20,Psychology,57.2,5.4,2.51,8.4,8,3.14
Male,20,Computer Science,54.1,8.2,2.13,7.2,16,2.67
Male,21,Psychology,57.6,10.2,2.47,7.4,4,2.04
Female,22,Mathematics,77.9,6.5,2.6,9.0,4,3.0
Male,21,Computer Science,53.5,9.7,2.01,6.8,5,2.9
Male,22,Mathematics,52.2,4.8,2.34,7.1,15,2.7
Female,20,Computer Science,54.4,3.8,3.25,7.6,12,3.22
Female,22,Computer Science,53.7,9.7,2.19,6.3,9,2.58
Female,21,Computer Science,43.9,12.7,2.58,8.0,10,2.51
Male,20,Economics,62.3,8.0,3.14,7.5,15,1.77
Male,23,Business,83.1,8.1,3.53,8.5,8,3.29
Male,23,Economics,64.8,6.5,2.19,6.7,13,2.89
Female,19,Engineering,59.4,7.0,2.94,7.8,7,3.32
Male,21,Engineering,67.0,7.1,2.59,6.6,10,2.21
Male,20,Psychology,65.8,6.3,3.46,5.3,9,2.88
Male,19,Computer Science,57.3,6.6,3.38,8.4,10,2.87
Male,21,Engineering,43.6,5.4,2.95,7.7,10,2.72
Male,23,Economics,65.6,7.4,2.56,6.3,4,2.06
Female,20,Mathematics,53.7,2.9,2.4,5.9,12,2.9
Female,23,Business,48.8,7.9,2.46,5.3,7,1.78
Male,21,Mathematics,71.6,5.6,2.49,5.9,13,2.48
Male,21,Business,82.4,3.3,1.98,7.0,6,2.98
Female,20,Business,71.8,5.8,2.63,6.7,15,2.07
Female,21,Mathematics,44.9,5.9,2.05,8.1,10,3.17
Female,21,Mathematics,50.1,4.9,2.21,6.2,17,2.05
Female,23,Business,72.7,11.3,3.54,6.9,13,2.46
Male,21,Mathematics,61.0,5.1,3.02,8.4,11,1.64
Male,20,Business,59.1,7.7,3.17,5.6,11,3.21
Male,20,Mathematics,92.9,7.1,2.4,6.4,8,2.66
Female,21,Psychology,70.9,8.4,3.33,8.2,10,2.3
Male,21,Mathematics,60.8,5.2,2.25,7.5,7,3.31
Female,22,Computer Science,45.2,6.1,2.39,7.4,10,2.12
Male,20,Computer Science,65.7,10.9,2.55,6.8,9,2.16
Male,20,Engineering,37.8,11.0,2.97,6.6,11,2.91
Female,23,Economics,57.1,8.5,2.45,5.1,14,3.3
Female,19,Computer Science,35.2,8.6,2.56,7.6,7,2.57
Female,20,Business,42.3,5.3,3.01,8.1,8,2.94
Female,20,Computer Science,73.9,5.4,3.39,5.1,5,2.54
Female,20,Business,78.2,6.6,3.11,8.9,4,2.02
Male,20,Economics,48.6,5.3,3.13,5.7,18,2.66
Male,20,Psychology,49.5,11.3,2.82,9.3,7,2.46
Female,20,Computer Science,66.1,11.0,2.42,5.6,9,1.99
Male,21,Economics,59.2,9.8,1.56,6.2,11,2.9
Female,20,Economics,55.5,7.9,3.76,8.3,8,2.36
Female,22,Psychology,47.9,9.7,1.72,7.3,11,2.49
Female,20,Computer Science,56.2,4.6,3.21,6.6,15,2.68
Male,22,Engineering,64.3,7.7,2.48,5.9,15,3.11
Male,20,Psychology,57.6,8.9,3.13,5.6,10,3.09
Female,20,Engineering,79.5,11.8,2.76,6.3,11,2.34
Male,20,Mathematics,87.1,1.2,3.58,5.3,6,2.1
Male,20,Engineering,50.0,11.6,2.58,6.7,6,2.1
Female,20,Business,55.2,3.7,3.07,9.0,10,1.48
Male,20,Economics,54.6,7.4,2.91,7.1,5,1.76
Male,21,Economics,68.2,6.9,2.61,7.0,7,2.21
Female,22,Mathematics,61.2,10.7,2.77,7.0,15,2.0
Female,21,Psychology,47.0,7.7,1.79,6.8,5,3.15
Female,19,Engineering,47.2,9.2,2.98,6.6,11,2.17
Male,22,Economics,50.4,4.1,2.13,7.2,11,2.55
Male,20,Engineering,49.7,7.7,2.67,6.4,15,2.7
Female,22,Computer Science,50.8,5.9,2.86,6.3,12,2.52
Male,23,Psychology,73.9,8.8,3.12,8.0,5,2.47
Male,20,Psychology,62.3,5.3,2.5,7.7,14,1.95
Female,21,Engineering,66.1,3.3,3.03,7.7,7,3.2
Male,23,Business,72.9,4.7,3.0,6.9,9,2.86
Male,19,Economics,70.9,10.3,3.25,7.4,9,2.67
Male,20,Business,72.3,9.3,2.36,6.2,3,2.32
Female,19,Mathematics,48.1,5.5,2.54,6.2,11,2.55
Female,22,Business,64.9,4.5,2.51,7.1,6,3.05
Female,22,Business,79.8,10.0,3.19,7.2,11,1.68
Female,19,Mathematics,68.2,8.2,2.75,6.9,11,2.45
Female,22,Mathematics,40.9,6.3,2.72,7.5,6,2.53
Male,19,Business,90.0,7.1,1.96,6.6,14,3.43
Female,21,Computer Science,74.5,11.0,3.04,8.3,14,3.05
Male,21,Mathematics,45.0,10.9,2.61,6.1,10,2.89
Female,22,Business,91.8,6.0,2.68,6.4,12,1.61
Male,20,Mathematics,69.4,6.2,1.8,8.0,9,2.68
Female,21,Business,51.9,10.7,2.71,5.2,13,2.25
Female,20,Mathematics,62.8,6.3,2.98,6.4,11,2.08
Female,21,Economics,64.0,7.5,1.95,4.6,10,2.32
Male,21,Engineering,62.2,8.2,3.17,6.8,14,3.29
Female,21,Economics,48.5,4.0,2.63,8.0,16,3.38
Female,21,Computer Science,81.2,3.2,3.57,6.2,12,3.43
Male,20,Business,59.4,5.8,3.38,6.8,9,2.22
