Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
Male,22,Psychology,45.6,7.6,2.73,6.3,9,3.15
Male,22,Business,67.1,6.0,2.24,7.1,8,2.0
Male,21,Psychology,47.4,4.9,2.12,4.3,12,1.7
Female,22,Engineering,73.3,12.2,2.76,7.2,11,2.92
Male,23,Engineering,67.7,5.6,2.33,5.5,14,2.64
Female,22,Economics,71.8,8.5,2.65,7.9,12,2.1
Female,21,Psychology,42.5,4.2,3.44,6.9,14,1.7
Female,21,Business,67.9,4.2,2.3,8.5,5,3.58
Female,21,Mathematics,62.9,12.3,2.29,9.0,13,2.82
Female,22,Mathematics,75.3,6.4,2.73,8.3,8,2.19
Male,23,Business,35.0,3.6,2.48,7.0,18,3.45
Male,20,Business,55.3,4.2,2.28,9.0,13,2.34
Female,22,Engineering,77.7,5.9,2.87,5.7,13,2.09
Male,20,Psychology,85.6,5.7,3.14,6.4,7,2.61
Male,21,Computer Science,49.6,6.1,2.55,6.1,13,2.66
Female,22,Economics,79.3,7.8,2.39,8.4,10,3.0
Male,21,Psychology,59.9,9.7,2.6,7.0,11,2.2
Female,20,Computer Science,82.6,3.8,3.08,6.4,14,3.04
Female,22,Mathematics,59.1,7.3,2.47,5.0,15,2.86
Female,22,Computer Science,76.2,7.7,1.63,7.0,11,2.49
Male,21,Business,61.0,12.0,2.1,6.2,14,2.72
Male,22,Business,59.0,8.5,3.11,7.4,9,1.79
Male,20,Computer Science,44.6,2.2,2.06,7.0,14,2.88
Male,21,Computer Science,41.8,9.5,3.19,5.7,9,2.56
Male,23,Business,41.5,7.0,2.86,7.5,10,2.08
Female,23,Business,69.9,10.3,2.95,8.1,3,2.41
Female,23,Business,75.0,7.1,1.8,7.1,13,3.29
Male,19,Psychology,52.6,10.6,2.79,8.8,5,3.3
Male,21,Economics,78.3,8.1,2.07,7.5,8,2.83
Male,21,Mathematics,53.7,4.8,2.32,6.1,6,1.83
Female,23,Psychology,66.3,7.7,2.48,7.9,7,2.34
Female,23,Engineering,67.6,4.0,3.08,7.4,9,2.94
Female,21,Psychology,57.4,5.8,2.63,9.0,9,2.23
Male,22,Engineering,52.6,8.9,2.46,8.8,16,2.65
Female,21,Engineering,55.5,11.1,2.78,8.0,15,3.29
Male,21,Psychology,62.9,2.3,2.63,6.1,9,3.06
Female,20,Computer Science,86.9,4.0,3.05,8.8,5,3.11
Female,20,Business,54.0,5.1,2.41,5.8,8,2.28
Female,22,Economics,40.8,9.5,2.53,7.8,11,3.02
Male,23,Psychology,53.1,3.5,2.59,7.7,7,2.99
Female,22,Psychology,61.0,8.5,2.22,7.4,15,2.84
Female,23,Business,50.8,7.2,2.53,9.1,5,3.09
Female,20,Computer Science,59.4,5.0,2.92,7.8,13,2.95
Female,20,Computer Science,42.6,9.6,3.21,6.5,13,1.93
Female,22,Mathematics,78.6,5.5,3.42,7.5,14,2.29
Male,21,Engineering,78.5,8.1,2.21,5.3,11,3.17
Male,20,Business,61.3,4.1,1.82,6.8,13,2.48
Female,21,Business,48.5,10.7,2.7,6.2,6,3.21
Male,20,Economics,54.4,6.4,3.19,7.3,14,1.75
Female,19,Psychology,73.7,8.6,2.66,7.4,10,2.39
Female,20,Mathematics,53.9,10.5,2.6,6.8,10,1.81
Male,23,Business,83.1,3.6,2.48,6.1,6,2.72
Female,22,Engineering,69.2,6.9,2.83,6.6,15,2.83
Male,21,Business,66.4,5.9,2.26,8.9,16,2.15
Male,20,Engineering,50.8,7.3,2.33,7.4,10,2.95
Male,20,Business,67.2,6.9,2.82,7.0,8,3.43
Male,21,Psychology,58.4,8.0,2.49,7.3,8,2.56
Female,21,Business,83.9,7.2,3.04,5.6,2,2.22
Male,21,Business,76.8,5.7,2.28,7.3,12,2.78
Female,21,Mathematics,62.6,10.2,3.53,7.0,8,1.9
Male,20,Mathematics,53.4,6.7,2.83,7.7,4,2.85
Female,21,Engineering,45.3,8.6,3.65,6.0,5,2.55
Male,23,Computer Science,45.9,4.7,2.81,8.0,8,3.51
Male,22,Economics,47.8,1.5,3.12,7.8,5,3.06
Male,20,Psychology,59.5,8.7,2.56,7.3,15,2.48
Male,22,Psychology,51.0,6.8,2.76,7.0,8,2.1
Female,22,Psychology,51.0,6.5,2.8,8.0,9,2.46
Female,20,Business,76.2,5.5,2.3,6.5,8,3.18
Female,22,Business,71.8,8.6,2.3,8.4,7,1.8
Male,20,Computer Science,68.0,4.2,2.82,6.9,7,2.74
Female,22,Mathematics,49.8,1.8,2.99,5.6,16,2.09
Female,20,Psychology,47.4,5.2,2.61,5.1,8,1.93
Female,21,Mathematics,44.1,7.2,2.59,8.8,4,2.24
Male,21,Economics,83.7,2.3,2.83,7.9,12,2.57
Male,20,Computer Science,82.2,10.9,3.0,6.3,9,2.31
Female,22,Mathematics,41.7,6.0,2.76,5.8,8,2.1
Male,22,Business,67.4,6.2,2.54,8.5,5,3.67
Female,21,Engineering,53.0,7.9,2.94,6.4,16,2.92
Female,19,Computer Science,60.1,8.7,3.36,6.8,11,3.38
Female,21,Business,43.5,2.8,2.51,5.0,12,1.79
Female,21,Engineering,56.8,5.5,2.45,8.9,13,1.76
Female,23,Business,72.5,5.2,2.57,6.5,11,2.49
Male,20,Computer Science,64.1,5.3,2.17,6.8,4,2.18
Female,21,Engineering,45.6,6.3,2.45,6.2,9,2.8
Male,20,Psychology,66.6,6.6,2.83,5.5,10,1.99
Male,23,Computer Science,57.6,9.7,2.35,7.8,14,2.1
Male,23,Business,86.6,8.7,2.65,7.6,11,2.27
Female,22,Engineering,58.7,10.7,2.27,8.3,10,2.8
Female,21,Engineering,60.4,3.5,2.22,6.8,6,2.88
Male,20,Engineering,44.1,5.4,2.39,6.9,6,3.21
Female,20,Psychology,70.5,7.2,2.99,5.9,9,2.36
Male,22,Business,45.0,8.3,3.13,7.6,8,2.49
Male,22,Business,71.1,11.0,2.67,6.6,9,2.14
Female,22,Computer Science,63.9,4.6,2.11,6.4,10,3.45
Male,20,Economics,49.1,7.4,2.86,6.6,10,3.34
Female,22,Mathematics,69.6,5.9,3.41,5.8,11,2.95
Female,21,Economics,69.3,9.2,2.62,6.2,3,2.51
Female,20,Business,45.2,8.1,2.84,6.3,14,3.1
Male,20,Computer Science,70.1,7.5,2.29,5.0,13,2.44
Male,22,Mathematics,75.4,9.8,3.11,5.2,10,2.14
Female,20,Business,42.6,2.8,2.81,6.2,10,2.3
Female,21,Engineering,49.6,5.4,2.8,6.9,7,2.32
Male,21,Engineering,72.2,3.9,2.27,7.5,9,2.12
Female,22,Mathematics,59.8,4.9,2.76,6.3,13,2.44
Female,20,Economics,48.0,9.2,3.09,8.1,8,2.62
Male,21,Business,87.9,11.6,2.75,7.1,12,3.01
Female,20,Psychology,74.2,6.9,2.53,7.8,16,2.99
Female,22,Business,46.3,8.1,3.28,6.8,13,2.18
Female,22,Computer Science,64.4,3.5,2.59,5.3,4,3.01
Male,19,Mathematics,69.8,4.2,3.12,8.1,5,1.76
Male,21,Psychology,46.7,7.9,2.83,6.6,2,3.5
Female,23,Engineering,60.3,8.9,3.22,5.4,12,3.3
Female,21,Business,68.4,5.9,3.29,8.7,12,2.38
Male,20,Computer Science,75.7,10.3,2.02,6.9,9,3.04
Male,20,Engineering,42.5,9.6,2.36,6.5,6,2.13
Female,22,Engineering,58.2,7.3,2.16,8.0,10,3.14
Female,21,Engineering,75.3,9.4,2.22,6.1,16,2.33
Male,21,Computer Science,53.2,7.4,2.47,4.7,17,1.89
Female,20,Computer Science,39.2,9.5,3.18,6.9,7,1.85
Female,22,Engineering,73.5,10.8,3.1,5.3,13,2.4
Male,22,Psychology,65.0,9.1,2.01,5.2,11,2.43
Female,22,Mathematics,75.6,4.0,3.11,7.3,12,1.88
Female,20,Psychology,48.9,5.4,2.64,6.2,11,1.79
Female,21,Engineering,71.7,7.3,2.83,7.5,18,1.96
Female,21,Psychology,46.9,5.8,3.19,7.2,13,2.88
Female,20,Engineering,90.8,6.9,2.65,8.0,11,3.65
Male,20,Psychology,66.5,6.8,2.43,8.0,8,3.17
Male,22,Psychology,67.2,7.8,2.06,8.1,7,2.94
Male,21,Economics,92.9,8.3,3.54,5.9,6,3.4
Male,20,Engineering,68.7,8.0,2.69,6.8,7,2.12
Male,22,Mathematics,86.5,6.7,2.58,5.5,4,2.79
Male,20,Psychology,61.6,5.7,2.93,8.8,6,2.69
Female,23,Economics,55.3,7.7,3.18,6.1,12,1.81
Female,22,Mathematics,56.5,3.1,2.93,8.3,13,2.28
Female,22,Business,64.7,3.5,2.91,7.2,10,3.46
Female,22,Mathematics,58.0,9.8,3.16,6.4,6,1.58
Female,20,Psychology,72.3,5.2,3.7,6.5,6,3.51
Female,20,Economics,70.8,7.1,2.96,6.6,12,1.96
Male,23,Engineering,70.1,6.9,3.26,8.0,14,2.88
Female,20,Mathematics,49.7,3.7,2.24,7.2,11,2.7
Male,22,Business,58.8,6.1,2.33,7.3,9,2.04
Male,22,Psychology,84.9,11.0,2.96,7.7,8,2.58
Male,21,Business,72.7,7.6,3.19,6.9,5,2.86
Male,20,Mathematics,64.5,10.0,2.14,6.9,14,2.8
Female,21,Mathematics,68.4,9.1,2.03,5.6,15,2.79
Male,21,Computer Science,57.9,10.8,2.55,7.7,10,1.94
Female,21,Business,55.6,6.5,2.47,5.9,8,2.32
Female,19,Mathematics,78.1,6.9,2.49,6.2,8,2.69
Female,21,Mathematics,40.5,7.6,3.18,7.5,6,2.82
Female,22,Computer Science,58.7,4.5,3.14,7.6,13,2.64
Female,20,Psychology,81.7,4.0,3.03,7.3,17,2.46
Female,21,Business,55.2,5.9,3.44,7.7,8,3.02
Female,21,Engineering,67.0,9.6,2.95,8.3,10,2.33
Female,22,Engineering,72.9,9.0,2.31,5.6,9,2.34
Male,22,Engineering,60.0,7.3,2.85,5.6,11,3.26
Female,21,Business,53.4,5.7,2.78,7.4,7,2.45
Female,22,Mathematics,79.7,3.2,2.81,6.7,6,2.52
Female,20,Computer Science,73.9,3.1,2.41,7.0,10,2.6
Female,22,Economics,68.6,6.5,2.16,7.0,11,1.79
Male,21,Economics,40.8,9.5,2.68,7.6,9,2.58
Male,21,Mathematics,56.6,5.3,2.98,7.7,16,2.49
Male,21,Engineering,76.2,7.9,3.21,7.8,8,2.99
Female,21,Engineering,59.7,9.2,2.04,5.5,8,2.86
Male,22,Psychology,56.4,4.2,3.03,6.7,8,3.19
Male,21,Economics,55.0,9.7,2.51,8.0,6,2.96
Male,20,Psychology,56.7,4.6,2.99,7.4,12,2.73
Female,19,Computer Science,63.0,6.7,1.88,8.4,11,2.44
Female,23,Computer Science,62.1,4.7,2.9,8.5,7,2.86
Male,23,Engineering,57.1,7.6,2.12,8.6,9,3.12
Female,20,Psychology,76.2,3.4,2.34,5.8,11,2.75
Female,22,Mathematics,44.2,9.5,1.96,6.3,11,2.48
Male,22,Business,45.1,7.7,3.08,6.7,17,1.67
Female,20,Business,59.0,8.0,2.9,6.9,11,2.69
Female,20,Computer Science,55.7,8.8,2.89,6.3,9,2.04
Female,23,Business,73.8,3.4,2.07,5.4,14,2.36
Male,22,Business,62.0,5.5,3.08,6.2,7,2.4
Female,23,Psychology,52.5,5.0,3.78,6.6,10,2.78
Female,21,Business,57.4,8.4,2.37,5.7,11,1.57
Female,22,Mathematics,58.9,4.6,2.54,8.3,13,2.38
Male,21,Psychology,59.5,7.1,2.54,5.8,8,2.56
Female,21,Psychology,43.1,6.3,2.43,5.2,6,2.37
Female,20,Psychology,80.7,8.6,1.96,8.2,6,3.03
Male,22,Mathematics,54.1,3.5,2.97,6.2,14,2.88
Female,19,Economics,59.5,1.5,2.87,6.9,8,3.09
Male,21,Computer Science,60.3,8.1,2.66,8.2,10,3.08
Female,21,Psychology,80.6,8.0,2.48,8.0,3,3.44
Male,22,Economics,77.6,9.5,2.35,6.4,15,3.09
Female,22,Engineering,66.7,5.7,2.64,6.7,8,2.21
Male,22,Computer Science,42.2,4.8,2.96,5.5,11,3.02
Male,22,Psychology,78.3,6.6,2.85,5.1,15,2.97
Male,21,Computer Science,50.8,2.1,2.84,8.6,9,2.48
Female,21,Engineering,52.6,8.6,1.95,6.6,12,1.53
Male,20,Computer Science,68.4,4.7,2.11,5.2,15,2.38
Female,22,Psychology,71.5,2.5,2.17,9.4,9,2.49
Male,22,Business,63.9,7.0,2.18,6.1,12,3.16
Female,22,Computer Science,55.5,5.8,2.78,7.2,11,3.15
Female,21,Business,49.1,6.3,1.97,7.1,6,2.23
Male,20,Mathematics,72.2,10.3,2.01,5.4,7,1.63
Male,21,Engineering,81.8,8.0,2.14,5.4,9,3.25
Male,23,Psychology,48.0,6.7,3.02,7.3,16,3.07
Female,22,Mathematics,58.4,4.4,2.7,6.3,8,3.45
Female,22,Business,68.8,8.9,2.92,7.9,6,2.64
Male,21,Business,57.4,5.8,2.53,6.6,10,2.37
Male,22,Business,50.2,5.8,3.72,7.5,7,2.43
Male,22,Psychology,58.4,4.0,2.76,6.3,12,1.88
Female,22,Business,61.8,9.7,3.49,5.3,13,2.5
Female,20,Engineering,83.4,6.5,3.0,8.5,15,1.77
Male,21,Psychology,43.2,2.5,3.36,9.2,12,3.07
Female,19,Business,47.4,10.8,2.6,7.9,12,1.82
Male,20,Computer Science,71.6,9.2,3.56,6.0,6,2.36
Male,22,Psychology,84.1,10.3,2.12,7.9,5,2.59
Female,22,Business,86.9,9.8,3.28,7.3,14,1.92
Female,20,Psychology,55.0,2.2,2.47,7.5,7,3.18
Female,22,Economics,55.8,11.2,3.09,7.1,8,2.77
Female,20,Engineering,64.9,12.0,2.26,7.1,12,2.43
Female,22,Psychology,85.1,8.2,2.73,5.8,9,3.13
Male,20,Engineering,49.2,10.8,3.07,8.0,12,2.13
Male,21,Mathematics,38.5,12.4,2.12,7.8,3,1.58
Female,22,Business,77.8,11.1,2.91,6.7,4,3.53
Female,22,Business,66.7,6.4,2.59,6.9,9,2.57
Male,23,Business,53.4,8.7,3.45,6.1,10,2.52
Male,22,Economics,88.7,5.4,2.69,6.6,10,2.38
Female,21,Engineering,53.3,6.8,3.04,8.5,14,2.66
Male,19,Mathematics,79.6,3.7,1.99,8.2,8,2.91
Female,20,Economics,69.3,3.4,1.99,7.2,5,1.87
Female,21,Mathematics,85.3,8.2,2.75,6.7,8,1.94
Male,21,Psychology,62.8,9.8,2.12,5.1,16,1.63
Male,20,Engineering,43.3,4.4,1.95,6.8,13,3.55
Male,21,Psychology,44.8,10.0,2.5,5.8,11,2.79
Male,22,Economics,63.7,10.8,1.99,8.0,8,2.4
Female,20,Psychology,65.9,9.8,2.85,6.9,15,2.57
Male,20,Business,45.7,9.4,3.59,8.4,7,3.5
Female,20,Economics,84.9,5.0,2.97,7.7,12,2.47
Male,20,Economics,65.4,7.2,2.41,7.1,10,1.91
Male,21,Economics,69.5,6.3,2.97,5.7,14,2.63
Male,21,Mathematics,70.7,9.1,2.86,7.1,13,3.04
